id,name,description,sku,ncmCode,category,imageUrl,currentStock,minStock,createdAt,updatedAt,averageCostBRL,salePriceBRL,supplierProductCode,lastSupplierId,status
7244d4de30f8dda78e0b8375b1e011f9,kit beads 6 unidades,,KBEADS-6UN,7117199000,Acessorios,https://forge.manus.ai/v1/storage/download/S29gNK3BzrsEFQ8DfeVmkp/products/7244d4de30f8dda78e0b8375b1e011f9-1761585387776.jpeg,20,10,2025-10-27 17:16:27,2025-10-27 18:04:33,1308,2500,,69a246167d4b1d3e78b5d56217672c4b,active
737d7da6ffd2a6a926f4b5e7f5f89abc,PULSEIRA SNAKE 6MM,,PUL-001,,PULSEIRA,https://forge.manus.ai/v1/storage/download/44cbhdF3StWVxrRkTvZg9g,9,2,2025-10-22 12:52:12,2025-10-22 17:31:02,0,2000,,,active
755f4fcf7b35dc243d8ae3e11565c42f,COLAR MINI ESTRELA NEGRA,,COL-011,,COLAR,https://forge.manus.ai/v1/storage/download/YMvCDcsLfjvFnydh4Z5b2N,59,5,2025-10-22 12:27:55,2025-10-27 18:02:02,575,1600,,69a246167d4b1d3e78b5d56217672c4b,active
784745ddcad69090461a315e35dd96b2,BEADS UNIDADE DO KIT DE 24 BEADS ALFABETO NORDICO,,BEADS-1UN,7117199000,Acessorios,https://forge.manus.ai/v1/storage/download/f7ZfbLynyGFkoSidKhj8Pu/products/784745ddcad69090461a315e35dd96b2-1761585329660.jpeg,576,10,2025-10-27 17:15:29,2025-10-27 18:06:47,6566,400,,69a246167d4b1d3e78b5d56217672c4b,active
8223628bfe2c45f6d8bc4557cc8de729,COLAR TRANÇADO SNAKE,,COL-020,,COLAR,https://forge.manus.ai/v1/storage/download/kwqfKiuGRr899zLfwWuyrg,10,2,2025-10-22 13:02:17,2025-10-22 17:28:46,0,1200,,,active
86a2ee2028a67738b5880549e5d78795,CAIXA EMBALAGEM PADRAO,https://www.elo7.com.br/caixa-de-joias-preta-com-berco-7-5cm-x-7-5cm-x-3-5cm/dp/1E45410,CX,,CAIXA,https://forge.manus.ai/v1/storage/download/B9SLSsySQGArvYGrjawUTe,360,150,2025-10-22 13:25:17,2025-10-28 18:07:09,0,200,,,active
876ec56ea85d28b080164a425492e27d,CHOCKER TIRA PRETA SPIKE P,,CHOK-001,,CHOCKER,https://forge.manus.ai/v1/storage/download/hkP9aCMktQRfSz27Ef5zaB,4,2,2025-10-22 13:06:23,2025-10-22 17:26:21,0,2300,,,active
8ef4b7e1f9e0a088debe98f149ddc5a8,Colar Coração Chamas Vazado,https://www.alibaba.com/product-detail/Fashion-Heart-Necklace-Stainless-Steel-for_1600140586720.html?source_from=alilens_1761584973267,COL-036,,COLAR,https://forge.manus.ai/v1/storage/download/UeDSFTMR6gjZA6TnVtS6mK/products/8ef4b7e1f9e0a088debe98f149ddc5a8-1761585086658.jpeg,30,5,2025-10-27 17:11:26,2025-10-28 18:14:54,900,1400,,69a246167d4b1d3e78b5d56217672c4b,active
9169344e75ef04b14bc5f4004dddda2b,PULSEIRA SPIKE PEQUENO,,PUL-004,,PULSEIRA,https://forge.manus.ai/v1/storage/download/adPyqWYYKfyGoMF82sZUau,38,2,2025-10-22 12:55:34,2025-10-27 18:02:02,692,1800,,69a246167d4b1d3e78b5d56217672c4b,active
91872c385ef4e97edbadf8d3486c38bb,COLAR CRUZ INVERTIDA VERMELHA,,COL-009,,COLAR,https://forge.manus.ai/v1/storage/download/36fiTQwRjXRgMVNUHUhCBX,29,5,2025-10-22 12:26:07,2025-10-22 17:33:22,0,1100,,,active
920f1b1f41364365aea91593cd7c2ab5,Choker 3 Argola Corrente,https://portuguese.alibaba.com/product-detail/Woman-Man-Punk-Leather-Bondage-Collar-60761466609.html,CHOK-003,7117199000,CHOCKER,https://forge.manus.ai/v1/storage/download/fwj5bmZbj27sLq7b2GcSoG/products/920f1b1f41364365aea91593cd7c2ab5-1761584757383.jpeg,30,5,2025-10-27 17:05:56,2025-10-27 18:08:07,1040,1500,,69a246167d4b1d3e78b5d56217672c4b,active
96820f664257e6815c2ff00934231087,BRINCO CRUZ PRETA,FORNECEDOR LEANDRO ATACADISTA,BRIN-006,,BRINCO,https://forge.manus.ai/v1/storage/download/e79qv2UusC7Y2ffGKkADLi,10,2,2025-10-21 18:31:21,2025-10-22 16:17:39,0,900,,,active
a31a4d3ef80dd11e2ab761bc9eabf634,COLAR CORAÇÃO PIXEL PTO,,COL-003,,COLAR,https://forge.manus.ai/v1/storage/download/QAcjxeM5NxRVK6rMMq9CCh,11,5,2025-10-21 18:36:33,2025-10-22 17:35:11,0,2600,,,active
a41f1bc81a83bfc37ac78f16a0b6eb0a,CHOCKER VERMELHA SPIKE P e M,,CHOK-002,,CHOCKER,https://forge.manus.ai/v1/storage/download/gYZ2R8DYCLz9ZEzuW4RHLp,3,2,2025-10-22 13:07:08,2025-10-22 17:26:09,0,2300,,,active
ad68bfcae573d7d0dca0419bbeb516be,COLAR CRUZ INVERTIDA PRETA,,COL-010,,COLAR,https://forge.manus.ai/v1/storage/download/HhZJ7pLDwf9k2h2UoURswx,27,5,2025-10-22 12:27:12,2025-10-22 17:33:13,0,1100,,,active
adf4fe3219fdac1d5ebde82f30a7be08,COLAR PRATEADO ANKA,,COL-027,,COLAR,https://forge.manus.ai/v1/storage/download/RVdJtUTpk3RnHGvSyajwxN,1,3,2025-10-22 13:18:02,2025-10-22 17:23:59,0,1800,,,active
b26e59ffd742f867627b2a094d3400ac,COLAR BORBOLETA PRETA,,COL-018,,COLAR,https://forge.manus.ai/v1/storage/download/aM5zpswxQKWtjrJNmSRfMV,4,1,2025-10-22 13:00:41,2025-10-22 17:29:14,0,1100,,,active
